| 2024-01-25 18:42:50,638 | wrapper | DEBUG | Аргументы: |(1, 0)|{}| Результат: None | Функция some_func|
| 2024-01-25 18:42:50,638 | wrapper | DEBUG | Аргументы: |(1, 1)|{}| Результат: 1.0 | Функция some_func|
| 2024-01-25 18:42:50,639 | wrapper | DEBUG | Аргументы: |(1, 2)|{}| Результат: 0.5 | Функция some_func|
| 2024-01-25 18:42:50,639 | wrapper | DEBUG | Аргументы: |(1, 3)|{}| Результат: 0.3333333333333333 | Функция some_func|
| 2024-01-25 18:42:50,639 | wrapper | DEBUG | Аргументы: |(1, 4)|{}| Результат: 0.25 | Функция some_func|
| 2024-01-25 18:42:50,639 | wrapper | DEBUG | Аргументы: |(1, 5)|{}| Результат: 0.2 | Функция some_func|
| 2024-01-25 18:42:50,639 | wrapper | DEBUG | Аргументы: |(1, 6)|{}| Результат: 0.16666666666666666 | Функция some_func|
| 2024-01-25 18:42:50,639 | wrapper | DEBUG | Аргументы: |(1, 7)|{}| Результат: 0.14285714285714285 | Функция some_func|
| 2024-01-25 18:42:50,639 | wrapper | DEBUG | Аргументы: |(1, 8)|{}| Результат: 0.125 | Функция some_func|
| 2024-01-25 18:42:50,639 | wrapper | DEBUG | Аргументы: |(1, 9)|{}| Результат: 0.1111111111111111 | Функция some_func|
| 2024-01-25 18:42:50,639 | wrapper | DEBUG | Аргументы: |(2, 0)|{}| Результат: None | Функция some_func|
| 2024-01-25 18:42:50,639 | wrapper | DEBUG | Аргументы: |(2, 1)|{}| Результат: 2.0 | Функция some_func|
| 2024-01-25 18:42:50,639 | wrapper | DEBUG | Аргументы: |(2, 2)|{}| Результат: 1.0 | Функция some_func|
| 2024-01-25 18:42:50,639 | wrapper | DEBUG | Аргументы: |(2, 3)|{}| Результат: 0.6666666666666666 | Функция some_func|
| 2024-01-25 18:42:50,639 | wrapper | DEBUG | Аргументы: |(2, 4)|{}| Результат: 0.5 | Функция some_func|
| 2024-01-25 18:42:50,639 | wrapper | DEBUG | Аргументы: |(2, 5)|{}| Результат: 0.4 | Функция some_func|
| 2024-01-25 18:42:50,639 | wrapper | DEBUG | Аргументы: |(2, 6)|{}| Результат: 0.3333333333333333 | Функция some_func|
| 2024-01-25 18:42:50,639 | wrapper | DEBUG | Аргументы: |(2, 7)|{}| Результат: 0.2857142857142857 | Функция some_func|
| 2024-01-25 18:42:50,639 | wrapper | DEBUG | Аргументы: |(2, 8)|{}| Результат: 0.25 | Функция some_func|
| 2024-01-25 18:42:50,639 | wrapper | DEBUG | Аргументы: |(2, 9)|{}| Результат: 0.2222222222222222 | Функция some_func|
| 2024-01-25 18:42:50,639 | wrapper | DEBUG | Аргументы: |(3, 0)|{}| Результат: None | Функция some_func|
| 2024-01-25 18:42:50,639 | wrapper | DEBUG | Аргументы: |(3, 1)|{}| Результат: 3.0 | Функция some_func|
| 2024-01-25 18:42:50,640 | wrapper | DEBUG | Аргументы: |(3, 2)|{}| Результат: 1.5 | Функция some_func|
| 2024-01-25 18:42:50,640 | wrapper | DEBUG | Аргументы: |(3, 3)|{}| Результат: 1.0 | Функция some_func|
| 2024-01-25 18:42:50,640 | wrapper | DEBUG | Аргументы: |(3, 4)|{}| Результат: 0.75 | Функция some_func|
| 2024-01-25 18:42:50,640 | wrapper | DEBUG | Аргументы: |(3, 5)|{}| Результат: 0.6 | Функция some_func|
| 2024-01-25 18:42:50,640 | wrapper | DEBUG | Аргументы: |(3, 6)|{}| Результат: 0.5 | Функция some_func|
| 2024-01-25 18:42:50,640 | wrapper | DEBUG | Аргументы: |(3, 7)|{}| Результат: 0.42857142857142855 | Функция some_func|
| 2024-01-25 18:42:50,640 | wrapper | DEBUG | Аргументы: |(3, 8)|{}| Результат: 0.375 | Функция some_func|
| 2024-01-25 18:42:50,640 | wrapper | DEBUG | Аргументы: |(3, 9)|{}| Результат: 0.3333333333333333 | Функция some_func|
| 2024-01-25 18:42:50,640 | wrapper | DEBUG | Аргументы: |(4, 0)|{}| Результат: None | Функция some_func|
| 2024-01-25 18:42:50,640 | wrapper | DEBUG | Аргументы: |(4, 1)|{}| Результат: 4.0 | Функция some_func|
| 2024-01-25 18:42:50,640 | wrapper | DEBUG | Аргументы: |(4, 2)|{}| Результат: 2.0 | Функция some_func|
| 2024-01-25 18:42:50,640 | wrapper | DEBUG | Аргументы: |(4, 3)|{}| Результат: 1.3333333333333333 | Функция some_func|
| 2024-01-25 18:42:50,640 | wrapper | DEBUG | Аргументы: |(4, 4)|{}| Результат: 1.0 | Функция some_func|
| 2024-01-25 18:42:50,640 | wrapper | DEBUG | Аргументы: |(4, 5)|{}| Результат: 0.8 | Функция some_func|
| 2024-01-25 18:42:50,640 | wrapper | DEBUG | Аргументы: |(4, 6)|{}| Результат: 0.6666666666666666 | Функция some_func|
| 2024-01-25 18:42:50,640 | wrapper | DEBUG | Аргументы: |(4, 7)|{}| Результат: 0.5714285714285714 | Функция some_func|
| 2024-01-25 18:42:50,640 | wrapper | DEBUG | Аргументы: |(4, 8)|{}| Результат: 0.5 | Функция some_func|
| 2024-01-25 18:42:50,640 | wrapper | DEBUG | Аргументы: |(4, 9)|{}| Результат: 0.4444444444444444 | Функция some_func|
| 2024-01-25 18:42:50,640 | wrapper | DEBUG | Аргументы: |(5, 0)|{}| Результат: None | Функция some_func|
| 2024-01-25 18:42:50,640 | wrapper | DEBUG | Аргументы: |(5, 1)|{}| Результат: 5.0 | Функция some_func|
| 2024-01-25 18:42:50,640 | wrapper | DEBUG | Аргументы: |(5, 2)|{}| Результат: 2.5 | Функция some_func|
| 2024-01-25 18:42:50,641 | wrapper | DEBUG | Аргументы: |(5, 3)|{}| Результат: 1.6666666666666667 | Функция some_func|
| 2024-01-25 18:42:50,641 | wrapper | DEBUG | Аргументы: |(5, 4)|{}| Результат: 1.25 | Функция some_func|
| 2024-01-25 18:42:50,641 | wrapper | DEBUG | Аргументы: |(5, 5)|{}| Результат: 1.0 | Функция some_func|
| 2024-01-25 18:42:50,641 | wrapper | DEBUG | Аргументы: |(5, 6)|{}| Результат: 0.8333333333333334 | Функция some_func|
| 2024-01-25 18:42:50,641 | wrapper | DEBUG | Аргументы: |(5, 7)|{}| Результат: 0.7142857142857143 | Функция some_func|
| 2024-01-25 18:42:50,641 | wrapper | DEBUG | Аргументы: |(5, 8)|{}| Результат: 0.625 | Функция some_func|
| 2024-01-25 18:42:50,641 | wrapper | DEBUG | Аргументы: |(5, 9)|{}| Результат: 0.5555555555555556 | Функция some_func|
| 2024-01-25 18:42:50,641 | wrapper | DEBUG | Аргументы: |(6, 0)|{}| Результат: None | Функция some_func|
| 2024-01-25 18:42:50,641 | wrapper | DEBUG | Аргументы: |(6, 1)|{}| Результат: 6.0 | Функция some_func|
| 2024-01-25 18:42:50,641 | wrapper | DEBUG | Аргументы: |(6, 2)|{}| Результат: 3.0 | Функция some_func|
| 2024-01-25 18:42:50,641 | wrapper | DEBUG | Аргументы: |(6, 3)|{}| Результат: 2.0 | Функция some_func|
| 2024-01-25 18:42:50,641 | wrapper | DEBUG | Аргументы: |(6, 4)|{}| Результат: 1.5 | Функция some_func|
| 2024-01-25 18:42:50,641 | wrapper | DEBUG | Аргументы: |(6, 5)|{}| Результат: 1.2 | Функция some_func|
| 2024-01-25 18:42:50,641 | wrapper | DEBUG | Аргументы: |(6, 6)|{}| Результат: 1.0 | Функция some_func|
| 2024-01-25 18:42:50,641 | wrapper | DEBUG | Аргументы: |(6, 7)|{}| Результат: 0.8571428571428571 | Функция some_func|
| 2024-01-25 18:42:50,641 | wrapper | DEBUG | Аргументы: |(6, 8)|{}| Результат: 0.75 | Функция some_func|
| 2024-01-25 18:42:50,641 | wrapper | DEBUG | Аргументы: |(6, 9)|{}| Результат: 0.6666666666666666 | Функция some_func|
| 2024-01-25 18:42:50,641 | wrapper | DEBUG | Аргументы: |(7, 0)|{}| Результат: None | Функция some_func|
| 2024-01-25 18:42:50,641 | wrapper | DEBUG | Аргументы: |(7, 1)|{}| Результат: 7.0 | Функция some_func|
| 2024-01-25 18:42:50,641 | wrapper | DEBUG | Аргументы: |(7, 2)|{}| Результат: 3.5 | Функция some_func|
| 2024-01-25 18:42:50,641 | wrapper | DEBUG | Аргументы: |(7, 3)|{}| Результат: 2.3333333333333335 | Функция some_func|
| 2024-01-25 18:42:50,642 | wrapper | DEBUG | Аргументы: |(7, 4)|{}| Результат: 1.75 | Функция some_func|
| 2024-01-25 18:42:50,642 | wrapper | DEBUG | Аргументы: |(7, 5)|{}| Результат: 1.4 | Функция some_func|
| 2024-01-25 18:42:50,642 | wrapper | DEBUG | Аргументы: |(7, 6)|{}| Результат: 1.1666666666666667 | Функция some_func|
| 2024-01-25 18:42:50,642 | wrapper | DEBUG | Аргументы: |(7, 7)|{}| Результат: 1.0 | Функция some_func|
| 2024-01-25 18:42:50,642 | wrapper | DEBUG | Аргументы: |(7, 8)|{}| Результат: 0.875 | Функция some_func|
| 2024-01-25 18:42:50,642 | wrapper | DEBUG | Аргументы: |(7, 9)|{}| Результат: 0.7777777777777778 | Функция some_func|
| 2024-01-25 18:42:50,642 | wrapper | DEBUG | Аргументы: |(8, 0)|{}| Результат: None | Функция some_func|
